"Application_ID","Application_Name","Team","Email_Distros","Individual_Contacts","Notes"
"APP-0038","Storage Capacity Planning","Data Storage Team","storage-team@company.com; storage-ops@company.com","",""
"APP-0039","Storage Decommission and Data Migration","Data Storage Team","storage-team@company.com; storage-ops@company.com","","Requires approval from data owner"
"APP-0040","Storage Expansion - SAN/NAS/File Share","Data Storage Team","storage-team@company.com; storage-ops@company.com","",""
"APP-0041","Storage Monitoring and Alerting Setup","Data Storage Team","storage-team@company.com; storage-ops@company.com","",""
"APP-0042","Storage Performance Analysis","Data Storage Team","storage-team@company.com; storage-ops@company.com","",""
"APP-0043","Storage Security Audit","Data Storage Team","storage-team@company.com; storage-ops@company.com","",""
"APP-0044","User File Recovery","End-User Services Team","enduser-services@company.com; desktop-support@company.com","",""
"APP-0045","VM Capacity Planning","Virtualization Team","virtualization-team@company.com; vmware-ops@company.com","",""
"APP-0046","VM Decommissioning","Virtualization Team","virtualization-team@company.com; vmware-ops@company.com","",""
"APP-0047","VM Memory or CPU Change","Virtualization Team","virtualization-team@company.com; vmware-ops@company.com","",""
"APP-0048","VM Performance Troubleshooting","Virtualization Team","virtualization-team@company.com; vmware-ops@company.com","david.kim@company.com","VMware Specialist: David Kim"
"APP-0049","VM Provisioning","Virtualization Team","virtualization-team@company.com; vmware-ops@company.com","",""
"APP-0050","VM Snapshot Management","Virtualization Team","virtualization-team@company.com; vmware-ops@company.com","",""
"APP-0051","Wireless Access Point Installation & Move-Add-Change","Network Wireless Team","wireless-team@company.com; wifi-ops@company.com","",""
"APP-0052","Wireless Guest Network Setup & Management","Network Wireless Team","wireless-team@company.com; wifi-ops@company.com","",""
"APP-0053","Wireless Network Performance Troubleshooting","Network Wireless Team","wireless-team@company.com; wifi-ops@company.com","",""
"APP-0054","Wireless Site Survey & Coverage Remediation","Network Wireless Team","wireless-team@company.com; wifi-ops@company.com","","Site survey required before remediation"
"APP-0055","Wireless SSID Provisioning & 802.1X Setup","Network Wireless Team","wireless-team@company.com; wifi-ops@company.com","",""
